Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.824669361114502,0.5228188037872314,0.6790571212768555,0.860382080078125,0.797698974609375,0.703216552734375,0.059113211929798126,0.3014412820339203
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.624474287033081,0.32262372970581055,0.6790571212768555,0.860382080078125,0.80670166015625,0.703216552734375,0.5112989544868469,0.25861480832099915
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6765809059143066,0.37473034858703613,0.6790571212768555,0.860382080078125,0.8236083984375,0.703216552734375,0.16588930785655975,0.27373406291007996
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.6422516107559204,0.3404010534286499,0.6790571212768555,0.860382080078125,0.8077392578125,0.703216552734375,0.36320942640304565,0.26107457280158997
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.8342663049697876,0.5324157476425171,0.6790571212768555,0.860382080078125,0.8134765625,0.703216552734375,0.06805690377950668,0.2795252203941345
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7287375926971436,0.42688703536987305,0.6790571212768555,0.860382080078125,0.7930908203125,0.703216552734375,0.32906514406204224,0.489743709564209
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.668853521347046,0.3670029640197754,0.6790571212768555,0.860382080078125,0.8037109375,0.703216552734375,0.05417061224579811,0.5142638087272644
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8079659938812256,0.5061154365539551,0.6790571212768555,0.860382080078125,0.7899169921875,0.703216552734375,0.194660946726799,0.49690964818000793
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.9198005199432373,0.6179499626159668,0.6790571212768555,0.860382080078125,0.788421630859375,0.703216552734375,0.01741209626197815,0.4968714118003845
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5721752643585205,0.27032470703125,0.6790571212768555,0.860382080078125,0.8201904296875,0.703216552734375,0.3621307909488678,0.4297071099281311
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6029331684112549,0.3010826110839844,0.6790571212768555,0.860382080078125,0.8271484375,0.703216552734375,0.07363536208868027,0.45388537645339966
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.574312448501587,0.2724618911743164,0.6790571212768555,0.860382080078125,0.819976806640625,0.703216552734375,0.21898715198040009,0.4476075768470764
year,NLL,Cov90,0.18,0.02,0.2,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.773884892463684,0.4720343351364136,0.6790571212768555,0.860382080078125,0.8018798828125,0.703216552734375,0.019361194223165512,0.44828933477401733
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8199585676193237,0.5181080102920532,0.6790571212768555,0.860382080078125,0.785858154296875,0.703216552734375,0.951036810874939,0.009343128651380539
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.8331135511398315,0.531262993812561,0.6790571212768555,0.860382080078125,0.7869873046875,0.703216552734375,0.9023696184158325,0.009508528746664524
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8150403499603271,0.5131897926330566,0.6790571212768555,0.860382080078125,0.787750244140625,0.703216552734375,0.9060876965522766,0.009471829980611801
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.828180193901062,0.5263296365737915,0.6790571212768555,0.860382080078125,0.7845458984375,0.703216552734375,0.7542036175727844,0.009465914219617844
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5152993202209473,0.21344876289367676,0.6790571212768555,0.860382080078125,0.815185546875,0.703216552734375,0.9571982622146606,0.00811680592596531
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.4875519275665283,0.1857013702392578,0.6790571212768555,0.860382080078125,0.821563720703125,0.703216552734375,0.9180166125297546,0.008065435104072094
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5260001420974731,0.22414958477020264,0.6790571212768555,0.860382080078125,0.814544677734375,0.703216552734375,0.9175348281860352,0.008218975737690926
year,NLL,Cov90,0.18,0.05,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.591966152191162,0.2901155948638916,0.6790571212768555,0.860382080078125,0.80889892578125,0.703216552734375,0.7772305011749268,0.008500048890709877
