Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.982050895690918,0.6802003383636475,0.8931231498718262,0.860382080078125,0.779144287109375,0.649017333984375,0.09009414911270142,0.3040141761302948
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.9375914335250854,0.6357408761978149,0.8931231498718262,0.860382080078125,0.776702880859375,0.649017333984375,0.23778745532035828,0.3388744592666626
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,2.005476474761963,0.7036259174346924,0.8931231498718262,0.860382080078125,0.785980224609375,0.649017333984375,0.028090700507164,0.27408313751220703
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.7601107358932495,0.458260178565979,0.8931231498718262,0.860382080078125,0.802032470703125,0.649017333984375,0.42292988300323486,0.252603679895401
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.9066760540008545,0.604825496673584,0.8931231498718262,0.860382080078125,0.789398193359375,0.649017333984375,0.09311845898628235,0.2638207674026489
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.7131900787353516,0.41133952140808105,0.8931231498718262,0.860382080078125,0.791961669921875,0.649017333984375,0.25335028767585754,0.3008938729763031
year,NLL,Cov90,0.12,0.05,0.1,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.9074652194976807,0.6056146621704102,0.8931231498718262,0.860382080078125,0.7957763671875,0.649017333984375,0.03889758139848709,0.2709854245185852
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.8091418743133545,0.507291316986084,0.8931231498718262,0.860382080078125,0.7801513671875,0.649017333984375,0.22056934237480164,0.5013061165809631
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,2.0153770446777344,0.7135264873504639,0.8931231498718262,0.860382080078125,0.795440673828125,0.649017333984375,0.028326787054538727,0.5431596636772156
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.8916380405426025,0.589787483215332,0.8931231498718262,0.860382080078125,0.779388427734375,0.649017333984375,0.12902098894119263,0.411044716835022
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,2.1876392364501953,0.8857886791229248,0.8931231498718262,0.860382080078125,0.77911376953125,0.649017333984375,0.008668316528201103,0.496319979429245
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.6821483373641968,0.38029778003692627,0.8931231498718262,0.860382080078125,0.809326171875,0.649017333984375,0.26419711112976074,0.4279571771621704
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.840261697769165,0.5384111404418945,0.8931231498718262,0.860382080078125,0.800689697265625,0.649017333984375,0.0337049663066864,0.45635366439819336
